,spot_price_eur_mwh,gas_price_eur_mwh,co2_price_eur_t,fcr_capacity_price_eur_mw_h,afrr_up_capacity_price_eur_mw_h,afrr_down_capacity_price_eur_mw_h,afrr_up_activation_price_eur_mwh,afrr_down_activation_price_eur_mwh
2026-01-05 00:00:00,70.73,29.945,69.771,15.23,21.44,11.28,103.41,60.12
2026-01-05 01:00:00,71.17,29.798,69.801,17.18,14.85,12.01,103.96,60.5
2026-01-05 02:00:00,59.54,29.645,69.809,11.68,14.26,17.82,89.42,50.61
2026-01-05 03:00:00,68.04,29.666,69.85,14.82,12.57,13.17,100.06,57.84
2026-01-05 04:00:00,78.42,29.855,70.012,16.42,16.21,9.8,113.03,66.66
2026-01-05 05:00:00,63.48,29.874,69.805,17.29,17.17,12.58,94.35,53.96
2026-01-05 06:00:00,61.33,29.86,69.746,21.36,21.19,9.11,91.66,52.13
2026-01-05 07:00:00,73.65,29.894,69.805,21.93,17.8,8.13,107.07,62.61
2026-01-05 08:00:00,76.23,30.051,69.647,23.29,18.69,10.69,110.29,64.79
2026-01-05 09:00:00,75.21,30.077,69.795,18.79,17.29,9.41,109.01,63.93
2026-01-05 10:00:00,61.12,30.028,69.831,20.36,18.36,10.94,91.4,51.95
2026-01-05 11:00:00,62.65,30.161,69.916,19.45,17.35,11.58,93.31,53.25
2026-01-05 12:00:00,62.31,30.212,69.859,10.74,8.96,13.17,92.88,52.96
2026-01-05 13:00:00,57.46,30.397,69.94,9.78,7.73,13.85,86.83,48.84
2026-01-05 14:00:00,67.0,30.419,70.047,15.44,10.06,9.08,98.75,56.95
2026-01-05 15:00:00,73.24,30.272,70.071,13.05,10.01,13.68,106.55,62.25
2026-01-05 16:00:00,71.8,30.108,70.094,19.68,16.62,9.25,104.75,61.03
2026-01-05 17:00:00,87.23,30.306,70.121,18.52,10.96,6.85,124.04,74.15
2026-01-05 18:00:00,90.06,30.512,70.035,26.71,19.18,8.14,127.57,76.55
2026-01-05 19:00:00,107.93,30.491,70.02,25.78,22.03,7.4,149.92,91.74
2026-01-05 20:00:00,108.39,30.445,70.005,26.65,18.04,5.61,150.48,92.13
2026-01-05 21:00:00,101.57,30.62,70.043,28.72,20.75,9.17,141.97,86.34
2026-01-05 22:00:00,87.73,30.487,70.143,21.86,18.56,5.7,124.66,74.57
2026-01-05 23:00:00,93.08,30.38,70.037,18.5,18.51,8.39,131.35,79.12
2026-01-06 00:00:00,74.36,30.457,70.025,15.51,17.63,9.84,107.95,63.21
2026-01-06 01:00:00,67.3,30.41,70.173,17.14,12.85,11.19,99.12,57.2
2026-01-06 02:00:00,62.83,30.409,70.098,11.67,10.01,12.02,93.53,53.4
2026-01-06 03:00:00,68.55,30.39,70.016,17.16,12.9,9.46,100.68,58.26
2026-01-06 04:00:00,73.62,30.43,70.036,14.82,16.91,12.66,107.03,62.58
2026-01-06 05:00:00,81.16,30.599,70.121,20.38,12.37,10.77,116.45,68.98
2026-01-06 06:00:00,90.18,30.61,70.122,13.39,14.7,6.05,127.73,76.66
2026-01-06 07:00:00,113.42,30.687,70.255,19.11,21.04,5.19,156.77,96.4
2026-01-06 08:00:00,105.24,30.441,70.341,17.4,19.33,8.85,146.55,89.45
2026-01-06 09:00:00,92.51,30.435,70.425,18.45,20.67,8.91,130.64,78.63
2026-01-06 10:00:00,74.45,30.334,70.48,18.74,15.95,10.17,108.06,63.28
2026-01-06 11:00:00,70.28,30.188,70.713,14.93,14.96,11.5,102.85,59.74
2026-01-06 12:00:00,71.19,30.083,70.692,12.53,7.23,12.95,103.98,60.51
2026-01-06 13:00:00,62.5,30.043,70.492,11.6,8.96,14.9,93.13,53.13
2026-01-06 14:00:00,53.08,30.152,70.652,12.61,8.48,10.73,81.35,45.11
2026-01-06 15:00:00,51.17,29.993,70.607,11.01,7.1,10.0,78.96,43.49
2026-01-06 16:00:00,68.83,29.997,70.618,17.94,9.08,9.03,101.04,58.51
2026-01-06 17:00:00,88.38,29.939,70.748,21.28,19.77,10.31,125.47,75.12
2026-01-06 18:00:00,104.43,29.9,70.588,24.04,20.61,10.74,145.54,88.77
2026-01-06 19:00:00,104.82,30.02,70.463,26.85,21.31,6.37,146.03,89.1
2026-01-06 20:00:00,108.59,30.084,70.303,26.74,24.71,2.0,150.74,92.3
2026-01-06 21:00:00,104.44,30.245,70.224,29.9,27.02,4.1,145.55,88.78
2026-01-06 22:00:00,97.98,30.226,70.267,22.55,14.46,6.72,137.47,83.28
2026-01-06 23:00:00,97.6,30.143,70.32,20.08,14.63,8.09,137.0,82.96
2026-01-07 00:00:00,236.99,30.116,70.348,14.75,11.53,10.2,311.24,201.44
2026-01-07 01:00:00,238.2,30.145,70.206,13.43,17.97,11.36,312.75,202.47
2026-01-07 02:00:00,77.9,30.166,69.975,12.48,13.95,10.84,112.38,66.22
2026-01-07 03:00:00,77.66,30.036,69.981,13.34,15.38,13.57,112.08,66.01
2026-01-07 04:00:00,82.86,30.047,69.934,15.99,10.34,9.86,118.57,70.43
2026-01-07 05:00:00,71.25,30.074,69.979,18.34,11.94,8.91,104.06,60.56
2026-01-07 06:00:00,76.0,30.376,70.05,19.51,18.78,10.79,110.0,64.6
2026-01-07 07:00:00,79.27,30.602,70.063,19.16,19.54,6.04,114.09,67.38
2026-01-07 08:00:00,77.54,30.499,70.139,23.87,21.64,9.66,111.92,65.91
2026-01-07 09:00:00,73.87,30.465,70.162,22.36,18.16,9.56,107.34,62.79
2026-01-07 10:00:00,81.25,30.289,70.215,17.72,16.82,10.08,116.56,69.06
2026-01-07 11:00:00,62.04,30.218,70.145,13.74,13.33,14.73,92.55,52.73
2026-01-07 12:00:00,63.56,30.256,70.127,14.54,12.67,11.26,94.45,54.03
2026-01-07 13:00:00,42.66,30.401,70.147,12.47,11.42,17.12,68.33,36.26
2026-01-07 14:00:00,42.74,30.313,70.229,8.48,4.26,12.51,68.43,36.33
2026-01-07 15:00:00,52.3,30.235,70.189,13.36,4.01,9.79,80.38,44.46
2026-01-07 16:00:00,69.11,29.977,70.241,16.83,16.77,11.35,101.38,58.74
2026-01-07 17:00:00,88.3,29.958,70.215,17.38,21.28,7.58,125.37,75.05
2026-01-07 18:00:00,106.62,29.83,70.203,23.55,18.6,6.75,148.28,90.63
2026-01-07 19:00:00,109.31,29.767,70.286,21.82,18.8,8.03,151.64,92.92
2026-01-07 20:00:00,105.71,29.661,70.087,29.34,25.3,8.11,147.14,89.85
2026-01-07 21:00:00,108.95,29.65,69.957,27.93,26.43,6.27,151.19,92.61
2026-01-07 22:00:00,97.67,29.439,69.809,22.13,26.69,10.36,137.09,83.02
2026-01-07 23:00:00,78.05,29.263,69.576,21.76,20.67,11.52,112.56,66.34
2026-01-08 00:00:00,54.28,29.519,69.508,10.61,13.18,13.89,82.85,46.14
2026-01-08 01:00:00,47.82,29.364,69.583,13.12,10.91,12.34,74.77,40.65
2026-01-08 02:00:00,55.86,29.233,69.554,14.85,13.13,14.19,84.82,47.48
2026-01-08 03:00:00,59.81,29.453,69.574,12.89,12.18,7.71,89.76,50.84
2026-01-08 04:00:00,70.0,29.802,69.683,17.95,10.72,10.58,102.5,59.5
2026-01-08 05:00:00,70.88,29.661,69.816,22.5,21.44,8.91,103.6,60.25
2026-01-08 06:00:00,80.02,29.617,69.809,16.44,22.79,10.08,115.03,68.02
2026-01-08 07:00:00,92.15,29.658,69.944,18.98,22.78,7.97,130.19,78.33
2026-01-08 08:00:00,90.17,29.865,69.953,22.21,17.23,8.54,127.71,76.64
2026-01-08 09:00:00,89.93,29.747,69.87,24.54,21.29,13.12,127.41,76.44
2026-01-08 10:00:00,73.88,29.717,69.81,15.06,17.91,10.04,107.35,62.8
2026-01-08 11:00:00,61.04,29.811,69.662,16.0,14.19,12.38,91.3,51.88
2026-01-08 12:00:00,50.66,29.863,69.573,17.72,14.08,12.04,78.33,43.06
2026-01-08 13:00:00,37.37,29.818,69.537,7.87,10.91,13.15,61.71,31.76
2026-01-08 14:00:00,46.17,29.802,69.618,8.9,11.34,12.97,72.71,39.25
2026-01-08 15:00:00,49.18,29.637,69.79,12.47,12.66,13.24,76.48,41.8
2026-01-08 16:00:00,61.6,29.608,69.652,14.87,14.79,13.54,92.0,52.36
2026-01-08 17:00:00,80.59,29.576,69.691,21.66,12.36,13.03,115.74,68.51
2026-01-08 18:00:00,97.73,29.604,69.587,23.68,21.91,8.87,137.16,83.07
2026-01-08 19:00:00,111.77,29.537,69.634,21.02,22.71,8.41,154.71,95.0
2026-01-08 20:00:00,110.82,29.594,69.621,27.29,21.16,4.7,153.53,94.2
2026-01-08 21:00:00,101.26,29.715,69.438,23.36,28.68,7.33,141.57,86.07
2026-01-08 22:00:00,92.9,29.734,69.531,25.95,26.49,10.27,131.13,78.97
2026-01-08 23:00:00,70.77,29.776,69.47,19.28,23.19,10.94,103.46,60.15
2026-01-09 00:00:00,45.99,29.783,69.417,15.04,15.06,11.44,72.49,39.1
2026-01-09 01:00:00,37.98,29.783,69.31,17.37,17.64,13.05,62.47,32.28
2026-01-09 02:00:00,35.03,29.696,69.245,17.49,13.13,12.44,58.78,29.77
2026-01-09 03:00:00,46.5,29.734,69.287,16.69,13.68,13.87,73.13,39.53
2026-01-09 04:00:00,45.66,29.722,69.269,11.95,10.48,11.79,72.07,38.81
2026-01-09 05:00:00,53.06,29.974,69.301,18.85,16.49,9.93,81.33,45.1
2026-01-09 06:00:00,76.93,30.162,69.338,16.79,17.62,10.51,111.16,65.39
2026-01-09 07:00:00,80.99,30.209,69.47,21.66,15.46,3.25,116.24,68.84
2026-01-09 08:00:00,91.22,30.117,69.435,18.06,19.84,9.64,129.02,77.54
2026-01-09 09:00:00,78.2,29.984,69.288,21.63,18.49,2.06,112.75,66.47
2026-01-09 10:00:00,261.3,30.127,69.394,16.1,21.38,6.93,341.63,222.11
2026-01-09 11:00:00,244.35,30.158,69.361,12.17,15.54,12.46,320.44,207.7
2026-01-09 12:00:00,44.45,30.216,69.473,14.95,10.37,13.45,70.56,37.78
2026-01-09 13:00:00,51.04,30.006,69.511,12.6,9.75,10.68,78.79,43.38
2026-01-09 14:00:00,36.49,30.118,69.498,10.57,9.25,11.53,60.62,31.02
2026-01-09 15:00:00,50.06,30.172,69.533,17.16,10.14,15.09,77.57,42.55
2026-01-09 16:00:00,64.29,30.039,69.728,15.07,10.52,10.24,95.36,54.64
2026-01-09 17:00:00,72.93,29.982,69.936,19.71,17.26,14.22,106.17,61.99
2026-01-09 18:00:00,74.95,30.014,69.943,23.75,19.42,8.25,108.68,63.7
2026-01-09 19:00:00,89.34,30.02,69.959,23.91,20.63,8.05,126.68,75.94
2026-01-09 20:00:00,90.13,29.985,70.066,27.18,26.53,10.23,127.66,76.61
2026-01-09 21:00:00,91.64,29.973,69.982,23.48,24.81,7.77,129.55,77.89
2026-01-09 22:00:00,86.6,29.943,70.015,21.73,15.94,6.38,123.25,73.61
2026-01-09 23:00:00,95.65,29.961,70.012,24.26,18.75,8.99,134.56,81.3
2026-01-10 00:00:00,64.95,30.138,70.044,14.03,17.28,10.94,96.19,55.21
2026-01-10 01:00:00,54.02,29.83,69.96,9.98,16.77,8.55,82.52,45.92
2026-01-10 02:00:00,55.25,29.801,69.801,19.61,16.18,10.95,84.06,46.96
2026-01-10 03:00:00,57.45,29.822,69.594,21.94,13.19,9.99,86.81,48.83
2026-01-10 04:00:00,69.88,29.858,69.482,15.16,11.23,13.06,102.35,59.4
2026-01-10 05:00:00,77.99,29.813,69.437,12.67,12.04,10.71,112.49,66.29
2026-01-10 06:00:00,83.13,29.602,69.407,18.6,18.47,9.27,118.91,70.66
2026-01-10 07:00:00,96.47,29.642,69.601,20.36,20.51,8.9,135.58,82.0
2026-01-10 08:00:00,83.65,29.849,69.712,21.15,23.86,9.32,119.56,71.1
2026-01-10 09:00:00,73.43,29.665,69.615,17.73,22.03,10.59,106.79,62.41
2026-01-10 10:00:00,58.56,29.769,69.65,19.56,15.59,8.38,88.2,49.77
2026-01-10 11:00:00,48.55,29.729,69.609,16.69,9.13,9.47,75.69,41.27
2026-01-10 12:00:00,32.91,29.722,69.581,9.43,9.38,14.71,56.14,27.97
2026-01-10 13:00:00,38.32,29.595,69.6,13.75,9.65,12.18,62.9,32.57
2026-01-10 14:00:00,38.85,29.555,69.661,17.23,8.51,10.12,63.57,33.02
2026-01-10 15:00:00,33.9,29.711,69.628,13.96,9.02,13.23,57.38,28.82
2026-01-10 16:00:00,38.73,29.781,69.734,15.33,14.53,12.14,63.41,32.92
2026-01-10 17:00:00,57.33,29.989,69.62,19.27,16.2,6.67,86.66,48.73
2026-01-10 18:00:00,78.09,30.13,69.62,24.61,19.77,8.71,112.61,66.38
2026-01-10 19:00:00,101.96,30.183,69.88,21.13,25.31,8.7,142.45,86.66
2026-01-10 20:00:00,123.0,30.392,69.902,26.41,23.79,7.75,168.75,104.55
2026-01-10 21:00:00,114.34,30.445,70.046,23.83,24.37,8.77,157.92,97.19
2026-01-10 22:00:00,93.29,30.544,70.055,27.38,22.12,5.58,131.62,79.3
2026-01-10 23:00:00,67.47,30.509,70.113,20.42,15.7,9.87,99.34,57.35
2026-01-11 00:00:00,57.78,30.517,70.107,20.8,12.85,10.41,87.23,49.12
2026-01-11 01:00:00,50.28,30.433,70.09,13.25,17.9,10.31,77.84,42.73
2026-01-11 02:00:00,47.84,30.552,70.012,17.05,9.61,13.2,74.8,40.66
2026-01-11 03:00:00,45.45,30.41,70.055,16.36,6.73,14.43,71.81,38.63
2026-01-11 04:00:00,49.27,30.504,69.97,14.0,8.18,14.8,76.59,41.88
2026-01-11 05:00:00,64.32,30.481,70.037,17.95,15.38,13.27,95.4,54.67
2026-01-11 06:00:00,71.33,30.622,70.145,22.41,17.53,9.62,104.16,60.63
